iter	Accuracy	MultiClass
0	0.4655172414	1.371928214
1	0.5931034483	1.34970919
2	0.6103448276	1.331067157
3	0.5896551724	1.316936399
4	0.6172413793	1.294365055
5	0.6379310345	1.274058597
6	0.6344827586	1.257422937
7	0.6379310345	1.243751563
8	0.6344827586	1.227794697
9	0.6379310345	1.211348626
10	0.6379310345	1.201500244
11	0.6620689655	1.187585689
12	0.6517241379	1.179330375
13	0.6482758621	1.166834327
14	0.6551724138	1.151910905
15	0.6551724138	1.140270402
16	0.6655172414	1.12732461
17	0.6620689655	1.119852356
18	0.6655172414	1.110198928
19	0.6620689655	1.100961095
20	0.6620689655	1.092823542
21	0.6551724138	1.085200921
22	0.675862069	1.07463365
23	0.675862069	1.063070892
24	0.6724137931	1.055160343
25	0.6827586207	1.04829176
26	0.6896551724	1.037088471
27	0.7034482759	1.029770324
28	0.6931034483	1.022891748
29	0.7	1.011212616
30	0.6965517241	1.004309381
31	0.7034482759	0.9973500657
32	0.724137931	0.9891555484
33	0.7344827586	0.9837333167
34	0.7344827586	0.9744859654
35	0.7413793103	0.9636120875
36	0.7379310345	0.9579595192
37	0.7413793103	0.9523833928
38	0.7448275862	0.9456214919
39	0.7482758621	0.9382277743
40	0.7482758621	0.931100125
41	0.7517241379	0.924128703
42	0.7482758621	0.918896205
43	0.7482758621	0.910498564
44	0.7517241379	0.904110544
45	0.7551724138	0.8999742497
46	0.7586206897	0.8931624783
47	0.7655172414	0.8882982058
48	0.7586206897	0.882773422
49	0.7655172414	0.8758709392
50	0.7724137931	0.8699378439
51	0.7793103448	0.8651270415
52	0.775862069	0.8609344516
53	0.7827586207	0.8541992686
54	0.7827586207	0.8488167013
55	0.7896551724	0.8431307552
56	0.7896551724	0.8407688996
57	0.7931034483	0.8340443736
58	0.7896551724	0.8296224603
59	0.7827586207	0.8261427152
60	0.7965517241	0.8223180096
61	0.7965517241	0.818433007
62	0.8034482759	0.8117637547
63	0.8034482759	0.8039442633
64	0.8068965517	0.8005468623
65	0.8103448276	0.7967478567
66	0.8206896552	0.7919776716
67	0.8172413793	0.7877760702
68	0.8206896552	0.7828424793
69	0.8172413793	0.7784338058
70	0.8379310345	0.7698466078
71	0.8413793103	0.7665575772
72	0.8448275862	0.7600700011
73	0.8482758621	0.7561003404
74	0.8482758621	0.7518036049
75	0.8482758621	0.7477400957
76	0.8448275862	0.7426284512
77	0.8620689655	0.7368174403
78	0.8689655172	0.730962289
79	0.8689655172	0.726778133
80	0.8689655172	0.7238338853
81	0.8724137931	0.718447277
82	0.875862069	0.7147704308
83	0.875862069	0.7112079656
84	0.8793103448	0.707467836
85	0.8793103448	0.7030754458
86	0.8827586207	0.6986739063
87	0.8827586207	0.6951915097
88	0.8827586207	0.6902097564
89	0.8793103448	0.6862065145
90	0.8793103448	0.6832835613
91	0.8862068966	0.6804961404
92	0.8862068966	0.6780125773
93	0.8931034483	0.6746286839
94	0.8965517241	0.670764365
95	0.9	0.6661537172
96	0.9103448276	0.6620606087
97	0.9137931034	0.6583708208
98	0.9103448276	0.6551927756
99	0.9137931034	0.6518473487
100	0.9137931034	0.6496188835
101	0.9172413793	0.6465475664
102	0.9172413793	0.6438870239
103	0.9206896552	0.6398820107
104	0.9206896552	0.6348733556
105	0.9206896552	0.6316834014
106	0.9206896552	0.6266318556
107	0.924137931	0.6228468066
108	0.9275862069	0.6195050002
109	0.9310344828	0.6166275193
110	0.9344827586	0.6133158349
111	0.9344827586	0.6106915575
112	0.9379310345	0.608128753
113	0.9379310345	0.6054899332
114	0.9379310345	0.6020084412
115	0.9413793103	0.5987178676
116	0.9413793103	0.5957941545
117	0.9413793103	0.5911101492
118	0.9379310345	0.5886389362
119	0.9413793103	0.5866406058
120	0.9482758621	0.5828746144
121	0.9482758621	0.5799455343
122	0.9482758621	0.5754458909
123	0.9482758621	0.5723998613
124	0.9482758621	0.5697765712
125	0.9482758621	0.5661174535
126	0.9482758621	0.5644092345
127	0.9482758621	0.5609490618
128	0.9482758621	0.5574650017
129	0.9482758621	0.5538921812
130	0.9482758621	0.5502038343
131	0.9517241379	0.5471684542
132	0.9517241379	0.5453159532
133	0.9517241379	0.541810647
134	0.9517241379	0.5387455178
135	0.9517241379	0.5343930876
136	0.9551724138	0.5311366099
137	0.9586206897	0.5284024373
138	0.9551724138	0.5247224969
139	0.9586206897	0.5208241744
140	0.9586206897	0.5173401973
141	0.9586206897	0.5125484245
142	0.9620689655	0.5093291373
143	0.9620689655	0.5054754061
144	0.9655172414	0.5030984269
145	0.9620689655	0.4991914644
146	0.9655172414	0.4950529648
147	0.9689655172	0.4915877947
148	0.9689655172	0.4886716947
149	0.9689655172	0.4855903554
150	0.9689655172	0.4828566136
151	0.9689655172	0.4808689523
152	0.9689655172	0.4777319222
153	0.9689655172	0.4735620805
154	0.9689655172	0.4700234556
155	0.9724137931	0.4666849795
156	0.9724137931	0.4644243029
157	0.9724137931	0.462157878
158	0.9724137931	0.4587110347
159	0.9724137931	0.4556722425
160	0.9724137931	0.4525381048
161	0.9724137931	0.4503148753
162	0.9724137931	0.447850957
163	0.9724137931	0.4454133012
164	0.9724137931	0.4425368566
165	0.9724137931	0.4390825922
166	0.9724137931	0.4371204988
167	0.9724137931	0.434587391
168	0.9724137931	0.430683788
169	0.9724137931	0.4290059066
170	0.9724137931	0.4268908811
171	0.9724137931	0.4243339135
172	0.9724137931	0.4220508574
173	0.9724137931	0.4194831936
174	0.9724137931	0.416842932
175	0.9724137931	0.4141347006
176	0.9724137931	0.4117322384
177	0.9724137931	0.4094101841
178	0.9724137931	0.4069476394
179	0.9724137931	0.4040389782
180	0.9724137931	0.401437403
181	0.9724137931	0.3978006399
182	0.9724137931	0.3946299919
183	0.9724137931	0.3919394122
184	0.9724137931	0.3896462847
185	0.9724137931	0.3869565345
186	0.975862069	0.3849531361
187	0.975862069	0.3825825824
188	0.9793103448	0.379721723
189	0.9793103448	0.3774775523
190	0.9793103448	0.3751456925
191	0.9793103448	0.3727776979
192	0.9793103448	0.3701206807
193	0.9793103448	0.3685182808
194	0.9793103448	0.3666046991
195	0.9793103448	0.3645680855
196	0.9827586207	0.3622036404
197	0.9827586207	0.3606413252
198	0.9827586207	0.3581230724
199	0.9827586207	0.3568333716
200	0.9827586207	0.3553062892
201	0.9827586207	0.3533370308
202	0.9862068966	0.3519381292
203	0.9862068966	0.3501711647
204	0.9827586207	0.3486882992
205	0.9827586207	0.347175919
206	0.9862068966	0.3453172548
207	0.9862068966	0.3429435355
208	0.9862068966	0.3407728348
209	0.9862068966	0.3384342793
210	0.9862068966	0.3362481742
211	0.9862068966	0.3343013203
212	0.9862068966	0.3326358413
213	0.9862068966	0.3313395027
214	0.9862068966	0.3293099338
215	0.9862068966	0.3269898949
216	0.9862068966	0.3262667869
217	0.9862068966	0.3236601278
218	0.9862068966	0.3219944479
219	0.9862068966	0.3203755578
220	0.9862068966	0.318810849
221	0.9862068966	0.3178272683
222	0.9862068966	0.3159241114
223	0.9862068966	0.3143919041
224	0.9862068966	0.3133176238
225	0.9862068966	0.3120320724
226	0.9862068966	0.3102609485
227	0.9862068966	0.3086508943
228	0.9862068966	0.3077222606
229	0.9862068966	0.3060935753
230	0.9862068966	0.3053712698
231	0.9862068966	0.3038593111
232	0.9862068966	0.3026191341
233	0.9862068966	0.3017229505
234	0.9862068966	0.2995056589
235	0.9862068966	0.2979908412
236	0.9862068966	0.2958075288
237	0.9862068966	0.2946847514
238	0.9862068966	0.2935337484
239	0.9862068966	0.2923018095
240	0.9862068966	0.2903752257
241	0.9862068966	0.2893775052
242	0.9862068966	0.287771674
243	0.9862068966	0.285966501
244	0.9862068966	0.2848117201
245	0.9862068966	0.2829721392
246	0.9862068966	0.2822130178
247	0.9862068966	0.2809164199
248	0.9862068966	0.2792937832
249	0.9862068966	0.277771179
250	0.9862068966	0.276817222
251	0.9862068966	0.275050669
252	0.9862068966	0.2733280698
253	0.9862068966	0.2720554243
254	0.9862068966	0.2704918745
255	0.9862068966	0.269133134
256	0.9862068966	0.267165772
257	0.9862068966	0.266183293
258	0.9862068966	0.2648489765
259	0.9862068966	0.2635469673
260	0.9862068966	0.2625058396
261	0.9862068966	0.2609992842
262	0.9862068966	0.2598290269
263	0.9862068966	0.2586580751
264	0.9862068966	0.2573327631
265	0.9862068966	0.2564769124
266	0.9862068966	0.2550006243
267	0.9862068966	0.2535238094
268	0.9862068966	0.2521241555
269	0.9862068966	0.2509940928
270	0.9862068966	0.2495893933
271	0.9862068966	0.2485832209
272	0.9862068966	0.2474050462
273	0.9862068966	0.2465964876
274	0.9862068966	0.2455670068
275	0.9862068966	0.2443235119
276	0.9862068966	0.2427252804
277	0.9862068966	0.2412674547
278	0.9862068966	0.2403575806
279	0.9862068966	0.2396514796
280	0.9862068966	0.2389295372
281	0.9862068966	0.2378839171
282	0.9862068966	0.2371089597
283	0.9862068966	0.2366795315
284	0.9862068966	0.2349959207
285	0.9862068966	0.2336042997
286	0.9862068966	0.2328031317
287	0.9862068966	0.2318434586
288	0.9862068966	0.2308213068
289	0.9862068966	0.2299864885
290	0.9862068966	0.2292803551
291	0.9862068966	0.2286748087
292	0.9862068966	0.2276504684
293	0.9862068966	0.2267728162
294	0.9862068966	0.2257686884
295	0.9862068966	0.2249933786
296	0.9862068966	0.2241955365
297	0.9862068966	0.2235058341
298	0.9862068966	0.2224585395
299	0.9862068966	0.2219890741
300	0.9862068966	0.220866422
301	0.9862068966	0.220426921
302	0.9862068966	0.2197768365
303	0.9862068966	0.2185413639
304	0.9862068966	0.2176109329
305	0.9862068966	0.2166299586
306	0.9862068966	0.2157803432
307	0.9862068966	0.2149055619
308	0.9862068966	0.213947407
309	0.9862068966	0.2131885441
310	0.9862068966	0.2123433405
311	0.9862068966	0.2114905045
312	0.9862068966	0.2105708148
313	0.9862068966	0.2094813896
314	0.9862068966	0.2088566966
315	0.9862068966	0.2083295418
316	0.9862068966	0.2073178455
317	0.9862068966	0.2066265632
318	0.9862068966	0.205609526
319	0.9862068966	0.2049508657
320	0.9862068966	0.204391922
321	0.9862068966	0.2040183649
322	0.9862068966	0.2034029138
323	0.9862068966	0.2028562684
324	0.9862068966	0.2022131838
325	0.9862068966	0.2015894904
326	0.9862068966	0.2006818318
327	0.9862068966	0.1995392931
328	0.9862068966	0.19875742
329	0.9862068966	0.1979397882
330	0.9862068966	0.1973285162
331	0.9862068966	0.1964419825
332	0.9862068966	0.1956420426
333	0.9862068966	0.1951151658
334	0.9862068966	0.1946152963
335	0.9862068966	0.1941125069
336	0.9862068966	0.1930917939
337	0.9862068966	0.1922415688
338	0.9862068966	0.1916065911
339	0.9862068966	0.191146537
340	0.9862068966	0.1905833122
341	0.9862068966	0.1898497209
342	0.9862068966	0.1893074953
343	0.9862068966	0.1888038079
344	0.9862068966	0.1879809956
345	0.9862068966	0.1874022414
346	0.9862068966	0.1870757939
347	0.9862068966	0.1864376115
348	0.9862068966	0.1860566835
349	0.9862068966	0.1855376174
350	0.9862068966	0.1848438953
351	0.9862068966	0.1841163593
352	0.9862068966	0.1833519448
353	0.9862068966	0.1827073914
354	0.9862068966	0.1823849951
355	0.9862068966	0.1818521001
356	0.9862068966	0.1813260003
357	0.9862068966	0.1809053846
358	0.9862068966	0.1801614846
359	0.9862068966	0.17980689
360	0.9862068966	0.1790769435
361	0.9862068966	0.1783686419
362	0.9862068966	0.1777399271
363	0.9862068966	0.1772773262
364	0.9862068966	0.1767511108
365	0.9862068966	0.1761022455
366	0.9862068966	0.1756767248
367	0.9862068966	0.1751477963
368	0.9862068966	0.1748336622
369	0.9862068966	0.174239801
370	0.9862068966	0.1737943377
371	0.9862068966	0.1733413336
372	0.9862068966	0.1726224343
373	0.9862068966	0.1721616377
374	0.9862068966	0.1715086951
375	0.9862068966	0.1709154738
376	0.9862068966	0.1702638831
377	0.9862068966	0.1698642117
