iter	Passed	Remaining
0	196	196251
1	359	179576
2	519	172529
3	682	169884
4	846	168411
5	1005	166564
6	1168	165778
7	1329	164830
8	1488	163925
9	1648	163165
10	1808	162624
11	1971	162335
12	2133	161973
13	2293	161511
14	2454	161197
15	2613	160739
16	2784	161030
17	2958	161414
18	3130	161609
19	3301	161768
20	3469	161731
21	3635	161632
22	3811	161889
23	3982	161956
24	4153	161985
25	4327	162120
26	4510	162553
27	4683	162593
28	4851	162447
29	5020	162328
30	5193	162346
31	5362	162208
32	5531	162083
33	5700	161950
34	5872	161915
35	6045	161877
36	6223	161991
37	6397	161952
38	6565	161788
39	6741	161802
40	6914	161738
41	7085	161624
42	7255	161476
43	7435	161547
44	7611	161531
45	7786	161483
46	7984	161894
47	8187	162383
48	8381	162674
49	8563	162703
50	8772	163228
51	8971	163561
52	9164	163758
53	9349	163785
54	9542	163949
55	9732	164068
56	9917	164066
57	10107	164156
58	10274	163867
59	10437	163527
60	10603	163216
61	10766	162887
62	10944	162773
63	11117	162592
64	11297	162506
65	11476	162414
66	11658	162342
67	11846	162361
68	12016	162140
69	12193	161996
70	12375	161922
71	12553	161804
72	12725	161600
73	12909	161547
74	13082	161345
75	13258	161190
76	13443	161144
77	13618	160981
78	13803	160920
79	13969	160653
80	14133	160358
81	14301	160111
82	14472	159897
83	14643	159686
84	14817	159509
85	14988	159299
86	15160	159102
87	15345	159037
88	15522	158883
89	15702	158770
90	15869	158519
91	16038	158290
92	16220	158192
93	16395	158024
94	16569	157844
95	16740	157640
96	16930	157610
97	17110	157483
98	17290	157365
99	17475	157281
100	17661	157204
101	17851	157161
102	18047	157167
103	18255	157278
104	18466	157405
105	18672	157482
106	18860	157405
107	19050	157346
108	19243	157300
109	19445	157329
110	19659	157455
111	19851	157390
112	20030	157227
113	20206	157043
114	20388	156904
115	20578	156822
116	20775	156794
117	20962	156688
118	21158	156640
119	21347	156547
120	21537	156459
121	21739	156451
122	21939	156430
123	22147	156458
124	22362	156539
125	22594	156724
126	22802	156743
127	23016	156802
128	23224	156811
129	23427	156784
130	23621	156693
131	23813	156594
132	24020	156583
133	24230	156592
134	24438	156586
135	24660	156664
136	24871	156669
137	25084	156684
138	25286	156629
139	25485	156555
140	25667	156369
141	25856	156230
142	26052	156130
143	26239	155981
144	26441	155910
145	26618	155699
146	26808	155563
147	27017	155530
148	27222	155477
149	27411	155334
150	27590	155130
151	27772	154940
152	27941	154682
153	28117	154466
154	28300	154281
155	28477	154070
156	28654	153857
157	28829	153633
158	29006	153425
159	29191	153254
160	29367	153038
161	29534	152775
162	29722	152625
163	29923	152537
164	30097	152313
165	30270	152084
166	30436	151817
167	30610	151595
168	30773	151320
169	30942	151071
170	31104	150794
171	31271	150539
172	31445	150318
173	31631	150159
174	31823	150027
175	32016	149894
176	32226	149845
177	32436	149789
178	32627	149649
179	32803	149438
180	32981	149234
181	33160	149042
182	33342	148856
183	33526	148684
184	33693	148435
185	33865	148206
186	34035	147973
187	34214	147778
188	34412	147665
189	34622	147599
190	34821	147488
191	34999	147288
192	35183	147115
193	35388	147025
194	35587	146912
195	35778	146763
196	35958	146573
197	36130	146347
198	36302	146120
199	36472	145889
200	36668	145762
201	36868	145649
202	37058	145495
203	37249	145344
204	37426	145142
205	37615	144985
206	37803	144820
207	37987	144642
208	38172	144469
209	38356	144294
210	38543	144126
211	38722	143929
212	38893	143703
213	39066	143485
214	39260	143347
215	39461	143229
216	39665	143124
217	39867	143010
218	40065	142880
219	40258	142733
220	40449	142581
221	40637	142415
222	40812	142204
223	40991	142006
224	41181	141846
225	41360	141649
226	41539	141454
227	41707	141221
228	41900	141069
229	42094	140925
230	42293	140796
231	42492	140665
232	42704	140576
233	42928	140526
234	43104	140320
235	43272	140085
236	43448	139877
237	43613	139636
238	43778	139393
239	43954	139190
240	44154	139058
241	44361	138951
242	44533	138731
243	44703	138506
244	44869	138272
245	45037	138042
246	45206	137817
247	45374	137586
248	45541	137354
249	45707	137121
250	45875	136894
251	46049	136685
252	46221	136471
253	46392	136253
254	46564	136041
255	46736	135828
256	46903	135601
257	47069	135371
258	47246	135173
259	47413	134945
260	47585	134734
261	47758	134526
262	47925	134301
263	48099	134096
264	48276	133900
265	48457	133712
266	48650	133561
267	48854	133438
268	49065	133333
269	49271	133215
270	49461	133052
271	49636	132849
272	49800	132619
273	49988	132450
274	50185	132307
275	50387	132175
276	50564	131979
277	50740	131779
278	50923	131598
279	51098	131395
280	51286	131228
281	51468	131044
282	51654	130869
283	51838	130691
284	52033	130540
285	52252	130448
286	52471	130355
287	52674	130222
288	52869	130070
289	53061	129908
290	53279	129811
291	53460	129622
292	53645	129445
293	53826	129256
294	54000	129052
295	54186	128875
296	54385	128731
297	54578	128570
298	54790	128454
299	54989	128308
300	55202	128195
301	55416	128081
302	55595	127887
303	55796	127744
304	55977	127555
305	56153	127353
306	56327	127148
307	56494	126930
308	56665	126718
309	56844	126525
310	57018	126321
311	57217	126172
312	57436	126066
313	57658	125966
314	57843	125786
315	58020	125588
316	58188	125371
317	58354	125150
318	58524	124937
319	58694	124724
320	58885	124558
321	59086	124412
322	59293	124277
323	59493	124128
324	59692	123977
325	59904	123850
326	60121	123735
327	60323	123589
328	60514	123419
329	60707	123255
330	60917	123124
331	61133	123003
332	61340	122864
333	61549	122730
334	61763	122604
335	61952	122429
336	62123	122220
337	62296	122012
338	62463	121794
339	62636	121587
340	62803	121370
341	62973	121159
342	63143	120947
343	63309	120729
344	63488	120536
345	63680	120366
346	63892	120236
347	64112	120118
348	64310	119960
349	64488	119764
350	64671	119578
351	64872	119424
352	65062	119251
353	65232	119039
354	65405	118835
355	65583	118639
356	65766	118453
357	65943	118255
358	66117	118053
359	66294	117856
360	66486	117686
361	66706	117565
362	66912	117419
363	67131	117296
364	67340	117154
365	67531	116980
366	67715	116794
367	67892	116598
368	68071	116404
369	68248	116206
370	68428	116015
371	68600	115809
372	68794	115641
373	69006	115502
374	69225	115375
375	69434	115231
376	69613	115037
377	69792	114842
