iter	Accuracy	MultiClass
0	0.5179282869	1.362031489
1	0.625498008	1.34457546
2	0.6533864542	1.323684765
3	0.7330677291	1.304971751
4	0.7131474104	1.280242904
5	0.7290836653	1.264473932
6	0.7689243028	1.24974623
7	0.7888446215	1.235308692
8	0.7768924303	1.221975482
9	0.7888446215	1.208213715
10	0.812749004	1.194142427
11	0.8207171315	1.181790424
12	0.828685259	1.170715844
13	0.828685259	1.156993011
14	0.8326693227	1.140301591
15	0.8406374502	1.126766042
16	0.8247011952	1.116532864
17	0.8247011952	1.101361818
18	0.8247011952	1.089939684
19	0.8326693227	1.080656486
20	0.8326693227	1.066003299
21	0.8326693227	1.054463036
22	0.8446215139	1.043309803
23	0.8406374502	1.033468734
24	0.8565737052	1.021783124
25	0.8486055777	1.009848005
26	0.8525896414	1.003153513
27	0.8685258964	0.9935508222
28	0.8685258964	0.9834261334
29	0.8764940239	0.9726943697
30	0.8725099602	0.9656653977
31	0.8764940239	0.9583785718
32	0.8844621514	0.9513248128
33	0.8924302789	0.9421954983
34	0.8924302789	0.9337259078
35	0.8884462151	0.9240246786
36	0.9043824701	0.9162907139
37	0.9043824701	0.9050424504
38	0.9083665339	0.8975755597
39	0.9083665339	0.8903153185
40	0.9043824701	0.8816993351
41	0.9083665339	0.8733147157
42	0.9083665339	0.8681868149
43	0.9083665339	0.8620567937
44	0.9163346614	0.8537492065
45	0.9123505976	0.8454205757
46	0.9163346614	0.8373366054
47	0.9203187251	0.8338549744
48	0.9203187251	0.8255162366
49	0.9203187251	0.8188132382
50	0.9203187251	0.8118041943
51	0.9243027888	0.8065734002
52	0.9243027888	0.7990449903
53	0.9243027888	0.7926098741
54	0.9243027888	0.7891522032
55	0.9243027888	0.7809267173
56	0.9243027888	0.7724429155
57	0.9282868526	0.766249037
58	0.9322709163	0.7604948865
59	0.9322709163	0.7578354813
60	0.9362549801	0.7516050839
61	0.9362549801	0.7466004582
62	0.9322709163	0.7421463943
63	0.9322709163	0.739337241
64	0.9322709163	0.7347203575
65	0.9362549801	0.7289270251
66	0.9362549801	0.7240015528
67	0.9362549801	0.7194642643
68	0.9402390438	0.7176166711
69	0.9402390438	0.7125222056
70	0.9362549801	0.706975534
71	0.9482071713	0.7025861222
72	0.9442231076	0.6984998737
73	0.9442231076	0.6945566941
74	0.9442231076	0.6908480803
75	0.9482071713	0.6849927379
76	0.9521912351	0.6799639051
77	0.9521912351	0.6738162118
78	0.9561752988	0.665864466
79	0.9561752988	0.661871716
80	0.9561752988	0.6579574407
81	0.9561752988	0.6552148665
82	0.9521912351	0.6513924145
83	0.9521912351	0.6490908429
84	0.9521912351	0.646909346
85	0.9561752988	0.6429931963
86	0.9561752988	0.6377102158
87	0.9521912351	0.6333186942
88	0.9521912351	0.6293353283
89	0.9561752988	0.6269850275
90	0.9601593625	0.6227420037
91	0.9641434263	0.6177783188
92	0.9641434263	0.6132939731
93	0.9641434263	0.6086029696
94	0.9641434263	0.6062857637
95	0.96812749	0.6040118518
96	0.9641434263	0.5984220452
97	0.96812749	0.5946561963
98	0.96812749	0.590621463
99	0.96812749	0.5874607025
100	0.96812749	0.5841227637
101	0.96812749	0.5806669468
102	0.96812749	0.5784972514
103	0.96812749	0.5740527401
104	0.96812749	0.5717954781
105	0.96812749	0.5676997774
106	0.96812749	0.5656338797
107	0.96812749	0.562776196
108	0.96812749	0.5599749146
109	0.96812749	0.5568661109
110	0.96812749	0.5528240095
111	0.9721115538	0.5482637014
112	0.9721115538	0.5434144761
113	0.9721115538	0.5388861591
114	0.9721115538	0.5366745335
115	0.9721115538	0.5333503693
116	0.9721115538	0.5308380956
117	0.9721115538	0.5267290979
118	0.9721115538	0.5235234646
119	0.9721115538	0.520824756
120	0.9721115538	0.5176268549
121	0.9721115538	0.5120280985
122	0.9760956175	0.5093171982
123	0.9760956175	0.5068379743
124	0.9760956175	0.5034002771
125	0.9760956175	0.4996467039
126	0.9760956175	0.496866419
127	0.9760956175	0.4932743553
128	0.9760956175	0.4901422065
129	0.9760956175	0.4867569604
130	0.9760956175	0.483862366
131	0.9760956175	0.4812779703
132	0.9760956175	0.478592817
133	0.9760956175	0.4748841688
134	0.9760956175	0.4724676347
135	0.9800796813	0.4694721219
136	0.9800796813	0.4668803845
137	0.9800796813	0.4651767
138	0.9800796813	0.4623946876
139	0.9800796813	0.4577554405
140	0.9800796813	0.4542943835
141	0.9800796813	0.4511215012
142	0.9760956175	0.4483099971
143	0.9760956175	0.4441090915
144	0.9760956175	0.4393108235
145	0.9800796813	0.4364742236
146	0.9800796813	0.4341469583
147	0.9800796813	0.431164361
148	0.9800796813	0.4301051805
149	0.9800796813	0.4266107135
150	0.9800796813	0.4234760924
151	0.9800796813	0.4212782211
152	0.9800796813	0.4192552603
153	0.9800796813	0.417357799
154	0.9800796813	0.4148534454
155	0.9800796813	0.4112296156
156	0.9800796813	0.4074146153
157	0.9800796813	0.4042032529
158	0.9800796813	0.4006960756
159	0.9800796813	0.3986746298
160	0.9800796813	0.395737762
161	0.9800796813	0.3925393802
162	0.984063745	0.389969588
163	0.984063745	0.3878198828
164	0.984063745	0.3848099191
165	0.984063745	0.3834406647
166	0.984063745	0.3808980896
167	0.984063745	0.3776265299
168	0.984063745	0.3747507847
169	0.984063745	0.3717174372
170	0.984063745	0.3707512923
171	0.984063745	0.3685219042
172	0.984063745	0.3657719675
173	0.984063745	0.3637075823
174	0.984063745	0.3620546966
175	0.984063745	0.3587975981
176	0.984063745	0.3560386768
177	0.984063745	0.3524322158
178	0.984063745	0.3495200988
179	0.984063745	0.3471391835
180	0.984063745	0.3449662259
181	0.984063745	0.343446036
182	0.984063745	0.3405385354
183	0.984063745	0.3387671135
184	0.984063745	0.3368936638
185	0.984063745	0.334942202
186	0.984063745	0.3325434965
187	0.984063745	0.3296256396
188	0.984063745	0.3278024013
189	0.984063745	0.3265402293
190	0.984063745	0.3240753294
191	0.984063745	0.3220602243
192	0.984063745	0.3199483143
193	0.984063745	0.3178332216
194	0.984063745	0.3155584086
195	0.984063745	0.313471865
196	0.984063745	0.3113290905
197	0.984063745	0.309819443
198	0.984063745	0.3076320989
199	0.984063745	0.3060188575
200	0.984063745	0.3050408424
201	0.984063745	0.3029620234
202	0.984063745	0.3024195515
203	0.984063745	0.3009881959
204	0.984063745	0.2987760124
205	0.984063745	0.2966199317
206	0.984063745	0.2951556171
207	0.984063745	0.2929780507
208	0.984063745	0.2911710718
209	0.984063745	0.2892586282
210	0.984063745	0.2873572895
211	0.984063745	0.2862051936
212	0.984063745	0.2836502919
213	0.984063745	0.2818673549
214	0.984063745	0.2797860434
215	0.984063745	0.2776806915
216	0.984063745	0.2761666466
217	0.984063745	0.2747252543
218	0.984063745	0.2725524565
219	0.984063745	0.2713371728
220	0.984063745	0.2700697188
221	0.984063745	0.267786143
222	0.984063745	0.2658937967
223	0.984063745	0.2647658911
224	0.984063745	0.2631432004
225	0.984063745	0.2616490278
226	0.984063745	0.2596569947
227	0.984063745	0.2581629007
228	0.984063745	0.2570344181
229	0.984063745	0.255692616
230	0.984063745	0.2546734715
231	0.984063745	0.2529897332
232	0.984063745	0.2514364071
233	0.984063745	0.2497631575
234	0.984063745	0.249159863
235	0.984063745	0.2475008832
236	0.984063745	0.2462813283
237	0.984063745	0.2452692809
238	0.984063745	0.2435859514
239	0.984063745	0.242654613
240	0.984063745	0.2416576891
241	0.984063745	0.2399059153
242	0.984063745	0.2393192507
243	0.984063745	0.238510442
244	0.984063745	0.2378735451
245	0.984063745	0.2371962156
246	0.984063745	0.2362567113
247	0.984063745	0.2348564754
248	0.984063745	0.2337866966
249	0.984063745	0.2326589469
250	0.984063745	0.2313131915
251	0.984063745	0.2303027934
252	0.984063745	0.2289747236
253	0.984063745	0.2274421713
254	0.984063745	0.2265291792
255	0.984063745	0.2255012703
256	0.984063745	0.2245235928
257	0.984063745	0.2237138758
258	0.984063745	0.2231092756
259	0.984063745	0.2224540401
260	0.984063745	0.2214088459
261	0.984063745	0.2198371235
262	0.984063745	0.2189527822
263	0.984063745	0.2173883755
264	0.984063745	0.2168555661
265	0.984063745	0.2154763311
266	0.984063745	0.2151448068
267	0.984063745	0.2140311019
268	0.984063745	0.2130892708
269	0.984063745	0.2119562286
270	0.984063745	0.2116507726
271	0.984063745	0.2105833157
272	0.984063745	0.2099530426
273	0.984063745	0.2092525919
274	0.984063745	0.2084847913
275	0.984063745	0.2070990052
276	0.984063745	0.2059937201
277	0.984063745	0.2048465859
278	0.984063745	0.2037220831
279	0.984063745	0.2030891658
280	0.984063745	0.2017505054
281	0.984063745	0.2012926725
282	0.984063745	0.2004077026
283	0.984063745	0.2000641327
284	0.984063745	0.1989298435
285	0.984063745	0.1981773262
286	0.984063745	0.1974646413
287	0.984063745	0.1967930632
288	0.984063745	0.195926913
289	0.984063745	0.1951112176
290	0.984063745	0.1948352257
291	0.984063745	0.194383251
292	0.984063745	0.1931899203
293	0.984063745	0.1928198963
294	0.984063745	0.1919560277
295	0.984063745	0.1913678327
296	0.984063745	0.1900802494
