iter	Accuracy	MultiClass
134	0.9369369369	0.6841300434
135	0.9399399399	0.6820289308
136	0.9399399399	0.6805991215
137	0.9429429429	0.6790688604
138	0.9429429429	0.6765787532
139	0.9429429429	0.6748166895
140	0.9429429429	0.6708363087
141	0.9429429429	0.66858508
142	0.9429429429	0.6670144369
143	0.9429429429	0.6639353589
144	0.9429429429	0.6622339882
145	0.9429429429	0.6598561926
146	0.9459459459	0.6574256611
147	0.9459459459	0.6540521943
148	0.9459459459	0.6530198138
149	0.9459459459	0.6510539785
150	0.9459459459	0.6487869453
151	0.9429429429	0.6464464999
152	0.9459459459	0.6449591731
153	0.9429429429	0.641328659
154	0.9459459459	0.6391717381
155	0.9459459459	0.6367581749
156	0.9459459459	0.6352802368
157	0.9459459459	0.632451841
158	0.9429429429	0.6292834608
159	0.9459459459	0.6259356121
160	0.9459459459	0.6241216006
161	0.9459459459	0.6218857927
162	0.9459459459	0.619552111
163	0.9459459459	0.61762218
164	0.9459459459	0.6162839381
165	0.9459459459	0.614503225
166	0.9459459459	0.6126278129
167	0.9459459459	0.6111164385
168	0.9459459459	0.6084094929
169	0.9459459459	0.6071447471
170	0.9489489489	0.6036320012
171	0.951951952	0.6016613861
172	0.951951952	0.5988008413
173	0.951951952	0.596521755
174	0.951951952	0.5956640059
175	0.951951952	0.593181967
176	0.9489489489	0.5905388272
177	0.9489489489	0.5891565296
178	0.9489489489	0.5867183716
179	0.9489489489	0.58434687
180	0.9489489489	0.5818799741
181	0.951951952	0.5790713318
182	0.951951952	0.5771675624
183	0.951951952	0.5755728455
184	0.954954955	0.5740078295
185	0.954954955	0.5715323129
186	0.954954955	0.5687741628
187	0.954954955	0.5672760274
188	0.954954955	0.5651488387
189	0.954954955	0.5625157185
190	0.954954955	0.5614314569
191	0.957957958	0.5602446401
192	0.957957958	0.5582104906
193	0.957957958	0.5563182742
194	0.957957958	0.5534227377
195	0.957957958	0.5512845715
196	0.957957958	0.5493784987
197	0.957957958	0.5474386104
198	0.957957958	0.5457531704
199	0.957957958	0.5434785753
200	0.957957958	0.540851054
201	0.957957958	0.5396182089
202	0.957957958	0.5376522517
203	0.957957958	0.5355762138
204	0.960960961	0.5339098274
205	0.960960961	0.5321278265
206	0.960960961	0.5305667663
207	0.963963964	0.528709013
208	0.963963964	0.5270020419
209	0.963963964	0.5257951699
210	0.963963964	0.5238149091
211	0.963963964	0.5219938231
212	0.966966967	0.5202720853
213	0.96996997	0.5180869276
214	0.966966967	0.5166789804
215	0.96996997	0.5137403666
216	0.96996997	0.5116414519
217	0.96996997	0.5106818575
218	0.96996997	0.5094243773
219	0.96996997	0.5078690206
220	0.96996997	0.5062491746
221	0.966966967	0.5043217357
222	0.96996997	0.5021029731
223	0.96996997	0.5003917512
224	0.96996997	0.4984079208
225	0.96996997	0.4964558501
226	0.966966967	0.4945485515
227	0.96996997	0.4935321343
228	0.96996997	0.4916881877
229	0.96996997	0.4892159913
230	0.96996997	0.4874536522
231	0.96996997	0.4857056179
232	0.96996997	0.4838587041
233	0.96996997	0.4817614718
234	0.96996997	0.4804169247
235	0.96996997	0.478350058
236	0.96996997	0.4769878819
237	0.96996997	0.4743141697
238	0.96996997	0.4734358349
239	0.96996997	0.4715506438
240	0.96996997	0.4691697175
241	0.972972973	0.4663122854
242	0.972972973	0.4639638082
243	0.972972973	0.4617779455
244	0.972972973	0.4600753685
245	0.972972973	0.4580513499
246	0.972972973	0.4560208035
247	0.972972973	0.4545262731
248	0.972972973	0.453124354
249	0.972972973	0.4510369162
250	0.975975976	0.4478486696
251	0.975975976	0.4462055374
252	0.975975976	0.4450233113
253	0.975975976	0.4430834409
254	0.975975976	0.4408631189
255	0.975975976	0.4392505834
256	0.975975976	0.4384417186
257	0.975975976	0.4373731226
258	0.975975976	0.4357242205
259	0.975975976	0.4341051051
260	0.975975976	0.432055634
261	0.975975976	0.4300441673
262	0.975975976	0.4285549958
263	0.975975976	0.4270227087
264	0.975975976	0.4260625062
265	0.975975976	0.4242747908
266	0.975975976	0.4218797082
267	0.975975976	0.4201111348
268	0.975975976	0.4185023165
269	0.975975976	0.4156575258
270	0.975975976	0.4140476918
271	0.975975976	0.4128998867
272	0.975975976	0.4118546
273	0.975975976	0.4105711977
274	0.975975976	0.4091994544
275	0.975975976	0.4072589919
276	0.978978979	0.4058811858
277	0.978978979	0.4041097365
278	0.978978979	0.4020975915
279	0.981981982	0.3997697736
280	0.981981982	0.3988205126
281	0.981981982	0.3972540381
282	0.981981982	0.3953958378
283	0.981981982	0.393973353
284	0.981981982	0.3926020464
285	0.984984985	0.3903679249
286	0.981981982	0.3887770886
287	0.981981982	0.3866969359
288	0.984984985	0.385250104
289	0.984984985	0.3836842952
290	0.987987988	0.3827039606
291	0.984984985	0.3809536429
292	0.984984985	0.3797843546
293	0.987987988	0.3781210455
294	0.987987988	0.3771539572
295	0.987987988	0.3757648467
296	0.987987988	0.3737174029
297	0.987987988	0.3722456212
