iter	Passed	Remaining
0	497	746146
1	792	593352
2	1087	542429
3	1353	506031
4	1614	482808
5	1876	467327
6	2145	457703
7	2438	454692
8	2692	445983
9	2942	438393
10	3202	433444
11	3455	428475
12	3711	424497
13	3957	420097
14	4208	416629
15	4509	418298
16	4763	415502
17	5015	412977
18	5268	410682
19	5526	408933
20	5778	406993
21	6034	405415
22	6287	403752
23	6537	402040
24	6783	400202
25	7026	398336
26	7295	397988
27	7546	396718
28	7800	395693
29	8055	394730
30	8310	393803
31	8532	391443
32	8759	389408
33	9060	390686
34	9306	389547
35	9551	388446
36	9807	387783
37	10077	387702
38	10339	387351
39	10606	387137
40	10891	387573
41	11130	386381
42	11361	384981
43	11625	384687
44	11884	384270
45	12105	382653
46	12340	381515
47	12574	380378
48	12839	380215
49	13103	379987
50	13358	379545
51	13610	378987
52	13867	378607
53	14115	377990
54	14372	377613
55	14620	377006
56	14867	376388
57	15121	375943
58	15394	375997
59	15630	375137
60	15889	374842
61	16153	374646
62	16413	374392
63	16669	374021
64	16923	373625
65	17212	373986
66	17496	374216
67	17748	373759
68	18003	373370
69	18252	372881
70	18544	373237
71	18772	372315
72	18992	371274
73	19278	371510
74	19541	371290
75	19796	370920
76	20055	370632
77	20345	370912
78	20563	369875
79	20816	369493
80	21130	370178
81	21390	369895
82	21639	369436
83	21894	369086
84	22156	368837
85	22397	368259
86	22662	368075
87	22914	367667
88	23162	367220
89	23416	366857
90	23668	366478
91	23921	366108
92	24177	365776
93	24426	365362
94	24674	364925
95	24924	364528
96	25179	364187
97	25435	363888
98	25694	363619
99	25960	363443
100	26218	363159
101	26478	362910
102	26742	362711
103	27002	362456
104	27260	362176
105	27512	361815
106	27770	361535
107	28028	361257
108	28290	361026
109	28547	360733
110	28805	360455
111	29060	360139
112	29311	359782
113	29556	359350
114	29809	359012
115	30079	358884
116	30331	358534
117	30602	358409
118	30854	358073
119	31107	357739
120	31367	357481
121	31628	357243
122	31889	357012
123	32152	356793
124	32415	356569
125	32669	356253
126	32928	355989
127	33190	355758
128	33419	355183
129	33669	354822
130	33901	354279
131	34154	353965
132	34414	353722
133	34668	353410
134	34920	353087
135	35172	352754
136	35463	352825
137	35739	352731
138	36000	352490
139	36259	352234
140	36520	351996
141	36785	351796
142	37048	351575
143	37306	351299
144	37549	350889
145	37802	350581
146	38059	350301
147	38311	349976
148	38566	349691
149	38821	349389
150	39059	348950
151	39333	348828
152	39580	348462
153	39834	348165
154	40086	347850
155	40341	347556
156	40595	347255
157	40839	346879
158	41096	346610
159	41348	346296
160	41607	346036
161	41864	345766
162	42123	345515
163	42345	344958
164	42629	344908
165	42888	344655
166	43134	344302
167	43400	344106
168	43661	343866
169	43920	343614
170	44164	343240
171	44415	342930
172	44664	342601
173	44896	342145
174	45153	341876
175	45459	341978
176	45676	341415
177	45892	340843
178	46128	340426
179	46380	340124
180	46625	339773
181	46910	339713
182	47132	339202
183	47368	338788
184	47630	338560
185	47876	338225
186	48138	337997
187	48391	337713
188	48636	337370
189	48906	337198
190	49157	336899
191	49403	336560
192	49641	336176
193	49896	335902
194	50119	335418
195	50392	335262
196	50664	335106
197	50929	334900
198	51189	334663
199	51450	334430
200	51708	334172
201	51941	333761
202	52174	333353
203	52405	332929
204	52674	332748
205	52944	332574
206	53202	332322
207	53482	332205
208	53748	332007
209	53999	331708
210	54265	331509
