iter	Accuracy	MultiClass
0	0.5846774194	1.363706332
1	0.6572580645	1.341080122
2	0.6975806452	1.320902947
3	0.7298387097	1.304966208
4	0.7096774194	1.291720544
5	0.7217741935	1.2795844
6	0.7379032258	1.260979298
7	0.7298387097	1.241912544
8	0.75	1.233147871
9	0.7661290323	1.216356455
10	0.7661290323	1.202925287
11	0.7822580645	1.187538293
12	0.7782258065	1.1728521
13	0.7943548387	1.162233582
14	0.8024193548	1.15216821
15	0.810483871	1.135330088
16	0.8266129032	1.119773683
17	0.8427419355	1.10847265
18	0.8427419355	1.099139647
19	0.8467741935	1.086714889
20	0.8467741935	1.07525436
21	0.8508064516	1.063261955
22	0.8588709677	1.055219536
23	0.8548387097	1.045049321
24	0.8508064516	1.036586564
25	0.8548387097	1.030072483
26	0.8669354839	1.020065876
27	0.8629032258	1.010914884
28	0.8629032258	1.002619272
29	0.8588709677	0.9938323271
30	0.8709677419	0.9858352096
31	0.875	0.9785827951
32	0.8629032258	0.9719671557
33	0.8709677419	0.9649747256
34	0.8709677419	0.9563487006
35	0.8709677419	0.9502176037
36	0.8830645161	0.9400823567
37	0.8870967742	0.9316155068
38	0.8870967742	0.9262939597
39	0.8870967742	0.9160228455
40	0.8911290323	0.9088502668
41	0.8830645161	0.9040944144
42	0.8870967742	0.8978948875
43	0.8830645161	0.8925491597
44	0.8951612903	0.8862703627
45	0.8911290323	0.8822900375
46	0.8911290323	0.8751888716
47	0.8951612903	0.869334535
48	0.8991935484	0.85938653
49	0.9032258065	0.8529869062
50	0.8951612903	0.8451516193
51	0.9032258065	0.8406210002
52	0.8991935484	0.832948367
53	0.9112903226	0.8258554297
54	0.9193548387	0.8184655726
55	0.9233870968	0.8095671174
56	0.9274193548	0.8044117052
57	0.9233870968	0.8012967104
58	0.9233870968	0.7980562463
59	0.9274193548	0.791707606
60	0.9274193548	0.7856267924
61	0.9274193548	0.7795896872
62	0.9314516129	0.7766125717
63	0.935483871	0.7695698934
64	0.935483871	0.7627230775
65	0.935483871	0.7580303991
66	0.935483871	0.7550859148
67	0.9314516129	0.7500842627
68	0.9314516129	0.7468685115
69	0.9314516129	0.7424631231
70	0.9314516129	0.7384361757
71	0.9314516129	0.7346397086
72	0.935483871	0.73044219
73	0.939516129	0.7241439391
74	0.9435483871	0.72120213
75	0.939516129	0.7169809819
76	0.939516129	0.7115515534
77	0.9435483871	0.7059195835
78	0.9435483871	0.7041716372
79	0.9435483871	0.7019104714
80	0.9435483871	0.6964522774
81	0.9435483871	0.6914096438
82	0.9435483871	0.6853371888
83	0.9516129032	0.6824201579
84	0.9475806452	0.6757814309
85	0.9516129032	0.6701795299
86	0.9516129032	0.6666345042
87	0.9516129032	0.6631147485
88	0.9516129032	0.660656498
89	0.9516129032	0.6547449591
